                   150282号-40℃零偏、零偏稳定性测试
  表 号:    150282  
测试温度:     -40℃  
测试时间:  2018年8月15日
  
项目/个数   输出U(mV)    平滑输出U(mV)
1           -0.028100      -0.020372
2           -0.071101      -0.012400
3           -0.007344      -0.028249
4           -0.040979      -0.020745
5           -0.023523      -0.004683
6           -0.062160      -0.007323
7           0.013837      -0.033486
8           0.008089      -0.036710
9           -0.011070      -0.015114
10          0.018627      -0.014667
11          -0.012134      -0.007153
12          -0.001809      -0.040542
13          0.005535      -0.019521
14          -0.066418      -0.004236
15          -0.025652      -0.017562
16          -0.022991      -0.025481
17          0.015221      -0.027993
18          0.002555      -0.000596
19          -0.015221      -0.007185
20          -0.003087      -0.009622
21          -0.019265      -0.017147
22          -0.032144      -0.024747
23          0.034593      -0.026556
24          -0.039808      -0.021458
25          -0.038850      -0.013273
26          -0.079297      -0.009441
27          0.002980      -0.011591
28          -0.047578      -0.013603
29          -0.014795      0.003747
30          -0.048323      -0.037520
31          -0.040021      -0.007163
32          -0.079297      0.000990
33          -0.034593      -0.021948
34          0.000213      -0.023331
35          0.009792      -0.028110
36          -0.035338      -0.003832
37          -0.032251      -0.019106
38          0.038956      -0.039372
39          -0.021394      -0.018584
40          -0.013518      -0.024811
41          -0.009686      -0.026386
42          -0.013411      -0.024076
43          -0.014476      -0.021926
44          -0.058860      -0.011187
45          -0.006706      -0.015976
46          -0.002555      -0.013337
47          0.049068      -0.006227
48          0.055987      -0.034401
49          -0.078871      -0.010410
50          0.032677      -0.015689
51          -0.035444      -0.003896
52          -0.043959      -0.013911
53          -0.021501      -0.013017
54          -0.049813      -0.033720
55          0.007238      -0.010591
56          0.008941      0.009164
57          0.050558      -0.029867
58          -0.005961      -0.032890
59          0.022884      -0.008100
60          -0.006173      -0.005066
61          -0.075146      -0.033475
62          -0.084086      -0.034433
63          -0.050878      -0.028728
64          -0.079616      -0.015412
65          -0.090260      -0.012262
66          0.014689      -0.015444
67          0.043533      -0.003630
68          -0.026929      -0.036455
69          0.027993      -0.013220
70          -0.014156      0.013230
71          0.010857      -0.028973
72          -0.093240      -0.030558
73          -0.074720      -0.013209
74          -0.022884      -0.019947
75          -0.063224      -0.024513
76          -0.048855      -0.007238
77          0.010112      -0.019382
78          -0.003193      -0.015497
79          -0.012666      -0.019500
80          -0.069291      0.002576
81          0.033422      -0.018733
82          -0.003619      -0.000373
83          0.047152      -0.042362
84          -0.095262      -0.010261
85          -0.035657      -0.018818
86          -0.052581      -0.012964
87          -0.044278      -0.030069
88          -0.019052      -0.029430
89          -0.023523      -0.020851
90          0.042256      -0.019851
91          -0.029058      -0.016423
92          -0.022671      -0.023374
93          -0.034805      -0.021245
94          -0.014369      -0.038254
95          -0.005428      -0.010399
96          -0.027142      -0.026674
97          0.020649      -0.003300
98          -0.030654      -0.016987
99          -0.006386      -0.012230
100         0.003193      -0.020245
101         -0.032996      -0.034923
102         -0.033741      -0.030335
103         0.002022      -0.017839
104         -0.008728      -0.043256
105         0.040553      -0.025598
106         0.028100      -0.021011
107         -0.058222      -0.003470
108         -0.036296      -0.013592
109         0.000852      0.017658
110         0.026929      -0.026237
111         -0.017988      -0.042480
112         -0.082490      -0.024385
113         -0.048642      -0.032719
114         -0.020862      -0.037913
115         -0.073336      -0.015487
116         -0.038424      -0.029239
117         -0.023097      -0.036093
118         -0.097178      -0.003832
119         0.029164      -0.012347
120         -0.032570      -0.016232
121         -0.023949      -0.032038
122         -0.077700      -0.015806
123         -0.017137      -0.034444
124         0.014156      -0.009739
125         0.037360      0.007611
126         0.007770      -0.013965
127         -0.065247      -0.010591
128         -0.026290      0.007397
129         -0.035338      -0.033741
130         -0.008834      -0.030196
131         -0.015434      -0.028227
132         -0.016285      -0.031729
133         -0.062799      -0.027153
134         -0.036934      -0.020500
135         0.087386      0.013880
136         -0.028419      -0.033007
137         -0.022459      -0.038541
138         -0.019372      -0.015338
139         -0.005854      -0.033209
140         0.077807      -0.027270
141         0.081851      -0.027791
142         -0.020968      -0.026003
143         -0.030016      -0.011836
144         -0.015434      -0.029217
145         -0.073975      -0.026205
146         -0.013198      0.019989
147         0.003938      -0.023118
148         -0.015114      -0.019042
149         -0.078871      -0.005918
150         -0.013837      -0.014710
151         0.050345      -0.013230
152         0.016392      -0.027312
153         -0.063544      -0.023715
154         -0.067056      -0.017541
155         -0.025971      -0.014678
156         -0.052687      -0.002533
157         -0.040234      -0.019361
158         -0.033847      -0.011165
159         -0.027461      -0.013624
160         -0.010750      -0.015018
161         -0.039063      -0.007759
162         -0.092495      -0.022746
163         0.025226      -0.006791
164         0.010112      -0.032038
165         -0.003300      -0.030314
166         -0.074507      -0.024736
167         0.083554      -0.007440
168         -0.101755      -0.007270
169         -0.001597      -0.003001
170         -0.086109      -0.009824
171         -0.039063      -0.003747
172         -0.015114      -0.012038
173         0.032889      -0.004183
174         0.023629      -0.042426
175         -0.017988      -0.006557
176         0.025119      -0.036327
177         -0.024162      -0.035668
178         0.036296      -0.015274
179         0.017137      -0.016466
180         -0.044704      -0.007227
181         -0.087705      -0.029888
182         0.007238      -0.011293
183         0.012560      0.001128
184         -0.000213      -0.007334
185         0.058967      -0.006461
186         -0.092176      -0.014305
187         -0.084619      -0.021288
188         0.128578      -0.020915
189         -0.016392      -0.011570
190         0.001916      -0.016413
191         0.003938      -0.044438
192         -0.028419      -0.024183
193         -0.022139      -0.008749
194         -0.044598      -0.028291
195         -0.004790      -0.008749
