                   150282号60℃零偏、零偏稳定性测试
  表 号:    150282  
测试温度:      60℃  
测试时间:  2018年8月15日
  
项目/个数   输出U(mV)    平滑输出U(mV)
1           -0.044278      -0.070068
2           -0.058860      -0.064427
3           -0.044704      -0.052943
4           -0.091750      -0.059020
5           -0.102287      -0.092207
6           -0.057690      -0.071282
7           -0.097285      -0.086950
8           -0.044491      -0.068685
9           -0.038318      -0.075092
10          -0.121021      -0.068025
11          -0.017988      -0.071122
12          -0.012134      -0.072868
13          -0.103032      -0.050963
14          -0.169769      -0.064193
15          -0.015327      -0.076210
16          -0.137199      -0.081000
17          -0.072378      -0.079573
18          0.042363      -0.058882
19          -0.115805      -0.073432
20          -0.043001      -0.054050
21          -0.038318      -0.059648
22          -0.043427      -0.058828
23          0.005428      -0.072325
24          -0.087599      -0.063938
25          -0.055774      -0.085949
26          -0.078658      -0.037243
27          -0.032251      -0.069888
28          -0.095369      -0.063342
29          -0.018840      -0.084555
30          -0.084619      -0.078232
31          -0.129642      -0.079435
32          -0.041937      -0.089430
33          -0.071633      -0.065556
34          -0.097178      -0.082788
35          -0.047152      -0.079137
36          -0.080574      -0.070994
37          0.004896      -0.076540
38          -0.053645      -0.085843
39          -0.039808      -0.097913
40          -0.033528      -0.067535
41          -0.067056      -0.089121
42          -0.070462      -0.087897
43          -0.094517      -0.064608
44          -0.001277      -0.069334
45          -0.126981      -0.087588
46          -0.118679      -0.100669
47          -0.141563      -0.073879
48          -0.146459      -0.078222
49          -0.034167      -0.070153
50          -0.120914      -0.067461
51          -0.110483      -0.073975
52          -0.018414      -0.101606
53          -0.077381      -0.077658
54          -0.135816      -0.039978
55          -0.059606      -0.056945
56          -0.097498      -0.091260
57          -0.028951      -0.075837
58          -0.101223      -0.081159
59          -0.059393      -0.081202
60          -0.024055      -0.059127
61          -0.156252      -0.091292
62          -0.106971      -0.069398
63          -0.128791      -0.075869
64          -0.113676      -0.082373
65          -0.028738      -0.092548
66          -0.088983      -0.067152
67          -0.122830      -0.076327
68          -0.005215      -0.088791
69          -0.082277      -0.086226
70          -0.035763      -0.078413
71          -0.128684      -0.083927
72          -0.088450      -0.104523
73          -0.053326      -0.098339
74          -0.102394      -0.080978
75          -0.030016      -0.060351
76          -0.058222      -0.095518
77          -0.069930      -0.075699
78          -0.015540      -0.085885
79          -0.106332      -0.098072
80          -0.033954      -0.071814
81          -0.059073      -0.081298
82          -0.148482      -0.090707
83          -0.138157      -0.092367
84          -0.028419      -0.065119
85          -0.125491      -0.067684
86          -0.050665      -0.072793
87          -0.021288      -0.076466
88          -0.019585      -0.047046
89          -0.082490      -0.062618
90          -0.077274      -0.086971
91          0.005748      -0.075284
92          -0.087280      -0.072027
93          -0.127620      -0.064385
94          -0.091644      -0.080159
95          -0.050558      -0.051740
96          -0.103778      -0.051505
97          -0.105800      -0.072527
98          -0.093027      -0.059276
99          -0.019478      -0.077732
100         -0.006812      -0.082447
101         -0.117508      -0.081415
102         0.010112      -0.075912
103         0.041405      -0.070377
104         -0.098349      -0.058296
105         -0.108780      -0.086290
106         -0.044811      -0.081777
107         -0.169237      -0.087024
108         -0.086215      -0.030133
109         -0.018201      -0.084182
110         -0.119637      -0.094006
111         -0.036508      -0.067131
112         -0.054497      -0.103586
113         -0.048004      -0.074581
114         -0.054390      -0.098136
115         0.002022      -0.080712
116         -0.052900      -0.056285
117         -0.080042      -0.086492
118         -0.093879      -0.091037
119         -0.142947      -0.077115
120         -0.167534      -0.038265
121         -0.135922      -0.057477
122         -0.081638      -0.060989
123         -0.058541      -0.062554
124         -0.039914      -0.094145
125         0.029377      -0.052400
126         -0.039382      -0.066130
127         -0.113570      -0.084885
128         0.006067      -0.071133
129         0.004577      -0.102404
130         -0.080680      -0.081010
131         -0.118572      -0.021533
132         -0.087812      -0.098030
133         -0.057796      -0.074635
134         -0.013837      -0.052517
135         -0.072910      -0.048376
136         -0.070356      -0.087684
137         -0.008728      -0.084246
138         -0.099094      -0.084693
139         -0.058222      -0.070547
140         -0.054603      -0.080542
141         -0.122191      -0.046790
142         -0.023842      -0.048036
143         -0.133474      -0.056189
144         -0.010218      -0.077019
145         -0.034273      -0.046077
146         -0.100904      -0.068003
147         -0.078126      -0.078126
148         -0.112186      -0.083756
149         -0.066950      -0.084310
150         -0.079935      -0.064502
151         -0.012666      -0.083650
152         -0.069717      -0.084214
153         0.000106      -0.065225
154         -0.035763      -0.069643
155         -0.116976      -0.084108
156         -0.136667      -0.062724
157         0.012879      -0.084385
158         -0.111015      -0.074454
159         -0.211706      -0.091388
160         -0.128471      -0.079818
161         0.024374      -0.087301
162         -0.167002      -0.069941
163         -0.132303      -0.074294
164         -0.054071      -0.091771
165         -0.064182      -0.059595
166         -0.008515      -0.058265
167         -0.075571      -0.051921
168         -0.086747      -0.076125
169         -0.121553      -0.089440
170         -0.110164      -0.068770
171         -0.062160      -0.068674
172         -0.030761      -0.073506
173         0.018307      -0.081723
174         0.004683      -0.081063
175         -0.069611      -0.055582
176         -0.130387      -0.079169
177         -0.113783      -0.065917
178         -0.085896      -0.067940
179         -0.076104      -0.066130
180         -0.043108      -0.065726
181         -0.148375      -0.068259
182         -0.062586      -0.084576
183         -0.042469      -0.043193
184         -0.097711      -0.063980
185         0.008515      -0.057168
186         -0.130600      -0.080542
187         -0.058541      -0.063874
188         -0.123469      -0.070090
189         -0.029058      -0.061138
190         -0.050026      -0.071133
191         -0.030867      -0.064470
192         -0.059180      -0.075603
193         -0.153591      -0.079425
194         -0.127833      -0.066503
195         -0.015327      -0.068908
196         -0.106119      -0.065353
197         -0.022991      -0.035157
198         -0.019904      -0.061128
199         -0.041830      -0.086407
200         0.037147      -0.067705
201         0.035550      -0.084863
202         -0.070782      -0.059244
203         -0.092601      -0.076114
204         -0.075891      -0.071931
205         -0.059606      -0.088472
206         -0.087492      -0.068099
207         -0.011282      -0.063459
208         -0.043001      -0.053017
209         -0.142521      -0.053964
210         -0.048855      -0.067833
211         -0.105055      -0.104746
212         -0.050558      -0.089674
213         -0.113463      -0.042480
214         -0.078871      -0.056966
215         -0.038211      -0.044502
216         -0.048323      -0.070175
217         -0.116337      -0.051229
218         0.092601      -0.072772
219         -0.061947      -0.054497
220         -0.068121      -0.057796
221         -0.038424      -0.059935
222         -0.085896      -0.040191
223         0.012134      -0.064502
224         -0.089195      -0.068014
225         -0.113889      -0.051825
226         -0.136028      -0.056561
227         -0.098881      -0.065917
228         -0.011389      -0.060287
229         -0.061202      -0.078243
230         -0.100478      -0.076806
231         -0.076316      -0.054028
232         -0.065779      -0.076199
233         -0.116869      -0.056242
234         -0.107609      -0.086567
235         -0.012347      -0.065523
236         -0.119637      -0.040447
237         -0.080787      -0.053134
238         0.024268      -0.080691
239         -0.056625      -0.063086
240         -0.027674      -0.027365
241         -0.047791      -0.038595
242         -0.160722      -0.045833
243         -0.146034      -0.078275
244         -0.054709      -0.079286
245         -0.079403      -0.040787
246         -0.116444      -0.071197
247         -0.081319      -0.072240
248         -0.073868      -0.071708
249         -0.066737      -0.072197
250         -0.032464      -0.082788
251         -0.110377      -0.043076
252         -0.070994      -0.070303
253         -0.065779      -0.046333
254         -0.041511      -0.062564
255         -0.016711      -0.048951
256         -0.013518      -0.060957
257         -0.009579      -0.040628
258         0.043640      -0.033273
259         -0.060244      -0.076295
260         -0.027355      -0.043278
261         -0.023629      -0.065917
262         -0.139328      -0.045758
263         -0.092176      -0.047823
264         -0.068866      -0.074294
265         -0.052793      -0.071111
266         -0.083341      -0.088759
267         -0.044385      -0.046301
268         -0.040234      -0.054443
269         -0.079403      -0.029643
270         -0.074720      -0.047120
271         -0.032996      -0.054912
272         -0.042575      -0.073560
273         -0.107822      -0.068940
274         -0.116337      -0.058467
275         0.010112      -0.059552
276         -0.062054      -0.051069
277         -0.058967      -0.046705
278         -0.090153      -0.042405
279         -0.103352      -0.037073
280         -0.029271      -0.077721
281         -0.089515      -0.082745
282         -0.101010      -0.042043
283         -0.106971      -0.058286
284         -0.007131      -0.079361
285         -0.091644      -0.062405
286         -0.037147      -0.070739
287         -0.068759      -0.093048
288         -0.093134      -0.057711
289         -0.047046      -0.067461
290         -0.203191      -0.033890
291         -0.062586      -0.042022
292         -0.046301      -0.030952
293         -0.051516      -0.028738
294         -0.113357      -0.020734
295         -0.108674      -0.042607
296         -0.071527      -0.073528
297         -0.126023      -0.064800
298         -0.094304      -0.056657
299         -0.055667      -0.053358
300         -0.052368      -0.045045
301         -0.106119      -0.055273
302         -0.059499      -0.078360
303         -0.015008      -0.054752
304         -0.057477      -0.066279
305         -0.092495      -0.074486
306         -0.131877      -0.080925
307         -0.058009      -0.051527
308         -0.082383      -0.063693
309         -0.062692      -0.104682
310         -0.128791      -0.067674
311         -0.068227      -0.061830
312         -0.128791      -0.045460
313         -0.021394      -0.059265
314         -0.084725      -0.063491
315         -0.059073      -0.049547
316         -0.076316      -0.071750
