                   150282号25℃零偏、零偏稳定性测试
  表 号:    150282  
测试温度:      25℃  
测试时间:  2018年8月15日
  
项目/个数   输出U(mV)    平滑输出U(mV)
1           0.087386      0.056508
2           0.091963      0.058381
3           0.016285      0.061607
4           0.094092      0.081958
5           0.059286      0.080872
6           0.062692      0.069313
7           -0.015327      0.022416
8           0.032357      0.059031
9           0.032144      0.038903
10          0.104203      0.056966
11          0.104629      0.053422
12          0.000213      0.054986
13          0.032783      0.055667
14          0.065140      0.049281
15          0.059286      0.068014
16          0.063118      0.050122
17          0.050771      0.074667
18          0.102926      0.059244
19          0.096220      0.056806
20          0.008728      0.053049
21          0.143373      0.067823
22          0.053751      0.058722
23          0.013624      0.058477
24          0.113783      0.055327
25          0.021394      0.073868
26          0.076955      0.041341
27          0.061628      0.073996
28          0.022991      0.060979
29          0.020010      0.076433
30          0.088557      0.053379
31          0.162106      0.037786
32          0.036508      0.041617
33          0.082916      0.070271
34          0.108780      0.090302
35          0.087386      0.062277
36          0.028313      0.025673
37          0.025226      0.052016
38          0.118679      0.053358
39          0.109099      0.048451
40          0.060563      0.062958
41          0.039169      0.041330
42          0.035657      0.059212
43          0.140499      0.040244
44          0.059393      0.049952
45          0.120595      0.067801
46          0.004364      0.042171
47          0.169769      0.049803
48          0.043853      0.053656
49          0.044811      0.055753
50          0.150610      0.069376
51          0.088557      0.076029
52          0.040234      0.059659
53          0.044704      0.062905
54          0.085470      0.083938
55          0.031719      0.067918
56          0.079829      0.055636
57          0.095050      0.073315
58          0.064076      0.042011
59          0.080361      0.059339
60          0.083128      0.064928
61          0.022884      0.062235
62          -0.035125      0.049994
63          -0.009047      0.061010
64          0.092708      0.045705
65          0.055880      0.057466
66          0.047365      0.071888
67          0.038318      0.070984
68          0.047472      0.066120
69          -0.012240      0.056498
70          -0.024055      0.078030
71          0.130174      0.056444
72          -0.050665      0.064193
73          0.068972      0.049164
74          0.124427      0.044566
75          -0.023523      0.056540
76          0.170302      0.051942
77          0.028632      0.062149
78          0.094943      0.063895
79          0.022991      0.044204
80          0.024055      0.057785
81          0.110377      0.067546
82          0.025439      0.075124
83          0.028313      0.043587
84          0.027248      0.067919
85          0.016924      0.061351
86          0.033315      0.067046
87          0.000958      0.048908
88          0.031719      0.040968
89          0.012240      0.070037
90          0.102500      0.056572
91          0.045875      0.053187
92          -0.028313      0.063725
93          0.136667      0.049462
94          0.044598      0.067078
95          0.081532      0.068898
96          0.062267      0.039031
97          0.099307      0.051825
98          0.059286      0.062522
99          0.041724      0.066407
100         0.026716      0.064331
101         0.060457      0.073155
102         0.123682      0.047578
103         0.077274      0.040894
104         -0.049813      0.048429
105         0.087705      0.037573
106         0.048749      0.083586
107         0.044385      0.039265
108         0.054390      0.068153
109         0.056732      0.064544
110         0.030654      0.054082
111         0.011708      0.061032
112         0.009899      0.072570
113         0.099839      0.054039
114         0.024481      0.056583
115         -0.012666      0.058861
116         0.030974      0.067844
117         0.070143      0.065587
118         0.073443      0.051091
