                   150282—-40℃刻度因数、线性度测试
  表 号:    150282  
测试温度:     -40℃  
测试时间:  2018年8月15日
  
  速率              输出
ω= 0.0000°/s    U=-0.072250mV   
ω= 0.1000°/s    U=-0.414248mV   
ω= 0.5000°/s    U=-1.646318mV   
ω= 1.0000°/s    U=-3.174883mV   
ω= 2.0000°/s    U=-6.297771mV   
ω= 3.0000°/s    U=-9.381040mV   
ω= 5.0000°/s    U=-15.614860mV   
ω= 8.0000°/s    U=-24.945211mV   
ω=10.0000°/s    U=-31.159669mV   
ω=15.0000°/s    U=-46.664183mV   
ω=20.0000°/s    U=-62.221522mV   
ω=30.0000°/s    U=-93.304220mV   
ω=40.0000°/s    U=-124.345329mV   
ω=60.0000°/s    U=-186.397706mV   
ω=80.0000°/s    U=-248.434775mV   
ω=120.0000°/s    U=-372.121467mV   
ω=150.0000°/s    U=-464.525924mV   
ω=180.0000°/s    U=-556.442223mV   
ω=250.0000°/s    U=-768.802732mV   
ω=300.0000°/s    U=-918.157972mV   
ω=350.0000°/s    U=-1065.137670mV   
ω=300.0000°/s    U=-918.166566mV   
ω=250.0000°/s    U=-768.826496mV   
ω=180.0000°/s    U=-556.477975mV   
ω=150.0000°/s    U=-464.534730mV   
ω=120.0000°/s    U=-372.145972mV   
ω=80.0000°/s    U=-248.461510mV   
ω=60.0000°/s    U=-186.447248mV   
ω=40.0000°/s    U=-124.339706mV   
ω=30.0000°/s    U=-93.300016mV   
ω=20.0000°/s    U=-62.224641mV   
ω=15.0000°/s    U=-46.688260mV   
ω=10.0000°/s    U=-31.140329mV   
ω= 8.0000°/s    U=-24.935940mV   
ω= 5.0000°/s    U=-15.590890mV   
ω= 3.0000°/s    U=-9.356985mV   
ω= 2.0000°/s    U=-6.249703mV   
ω= 1.0000°/s    U=-3.176618mV   
ω= 0.5000°/s    U=-1.602678mV   
ω= 0.1000°/s    U=-0.376824mV   
ω= 0.0000°/s    U=-0.027834mV   
ω=-0.1000°/s    U=0.259401mV   
ω=-0.5000°/s    U=1.492778mV   
ω=-1.0000°/s    U=3.068996mV   
ω=-2.0000°/s    U=6.192148mV   
ω=-3.0000°/s    U=9.273014mV   
ω=-5.0000°/s    U=15.490348mV   
ω=-8.0000°/s    U=24.839511mV   
ω=-10.0000°/s    U=31.027565mV   
ω=-15.0000°/s    U=46.591261mV   
ω=-20.0000°/s    U=62.131596mV   
ω=-30.0000°/s    U=93.192365mV   
ω=-40.0000°/s    U=124.244335mV   
ω=-60.0000°/s    U=186.355290mV   
ω=-80.0000°/s    U=248.327349mV   
ω=-120.0000°/s    U=372.043293mV   
ω=-150.0000°/s    U=464.425658mV   
ω=-180.0000°/s    U=556.335268mV   
ω=-250.0000°/s    U=768.592730mV   
ω=-300.0000°/s    U=917.917972mV   
ω=-350.0000°/s    U=1064.799050mV   
ω=-300.0000°/s    U=917.939934mV   
ω=-250.0000°/s    U=768.664764mV   
ω=-180.0000°/s    U=556.392344mV   
ω=-150.0000°/s    U=464.446769mV   
ω=-120.0000°/s    U=372.063132mV   
ω=-80.0000°/s    U=248.369255mV   
ω=-60.0000°/s    U=186.380222mV   
ω=-40.0000°/s    U=124.284009mV   
ω=-30.0000°/s    U=93.221008mV   
ω=-20.0000°/s    U=62.146636mV   
ω=-15.0000°/s    U=46.604247mV   
ω=-10.0000°/s    U=31.056910mV   
ω=-8.0000°/s    U=24.871730mV   
ω=-5.0000°/s    U=15.519831mV   
ω=-3.0000°/s    U=9.302700mV   
ω=-2.0000°/s    U=6.160685mV   
ω=-1.0000°/s    U=3.068017mV   
ω=-0.5000°/s    U=1.547669mV   
ω=-0.1000°/s    U=0.306820mV   
ω= 0.0000°/s    U=-0.045949mV   
                       
标度因数        -3.0699mV/(°/s)    
0＜ω≤180°/s线性度            0.1722%   
180°/s＜ω≤350°/s线性度      0.8742%   
          
          
