                   150282—60℃刻度因数、线性度测试
  表 号:    150282  
测试温度:      60℃  
测试时间:  2018年8月15日
  
  速率              输出
ω= 0.0000°/s    U=-0.055199mV   
ω= 0.1000°/s    U=-0.351045mV   
ω= 0.5000°/s    U=-1.572279mV   
ω= 1.0000°/s    U=-3.022825mV   
ω= 2.0000°/s    U=-6.056111mV   
ω= 3.0000°/s    U=-9.034690mV   
ω= 5.0000°/s    U=-15.014632mV   
ω= 8.0000°/s    U=-23.998186mV   
ω=10.0000°/s    U=-29.971401mV   
ω=15.0000°/s    U=-44.925744mV   
ω=20.0000°/s    U=-59.887712mV   
ω=30.0000°/s    U=-89.783013mV   
ω=40.0000°/s    U=-119.664770mV   
ω=60.0000°/s    U=-179.414529mV   
ω=80.0000°/s    U=-239.083312mV   
ω=120.0000°/s    U=-358.154274mV   
ω=150.0000°/s    U=-447.104835mV   
ω=180.0000°/s    U=-535.690649mV   
ω=250.0000°/s    U=-740.498770mV   
ω=300.0000°/s    U=-884.731434mV   
ω=350.0000°/s    U=-1027.063920mV   
ω=300.0000°/s    U=-884.771430mV   
ω=250.0000°/s    U=-740.533883mV   
ω=180.0000°/s    U=-535.732446mV   
ω=150.0000°/s    U=-447.149498mV   
ω=120.0000°/s    U=-358.162016mV   
ω=80.0000°/s    U=-239.108878mV   
ω=60.0000°/s    U=-179.430124mV   
ω=40.0000°/s    U=-119.690655mV   
ω=30.0000°/s    U=-89.773050mV   
ω=20.0000°/s    U=-59.876196mV   
ω=15.0000°/s    U=-44.937633mV   
ω=10.0000°/s    U=-29.973413mV   
ω= 8.0000°/s    U=-23.978867mV   
ω= 5.0000°/s    U=-14.996197mV   
ω= 3.0000°/s    U=-9.031816mV   
ω= 2.0000°/s    U=-6.022945mV   
ω= 1.0000°/s    U=-3.049317mV   
ω= 0.5000°/s    U=-1.543190mV   
ω= 0.1000°/s    U=-0.347522mV   
ω= 0.0000°/s    U=-0.077434mV   
ω=-0.1000°/s    U=0.222201mV   
ω=-0.5000°/s    U=1.426042mV   
ω=-1.0000°/s    U=2.918779mV   
ω=-2.0000°/s    U=5.892577mV   
ω=-3.0000°/s    U=8.917573mV   
ω=-5.0000°/s    U=14.886767mV   
ω=-8.0000°/s    U=23.873731mV   
ω=-10.0000°/s    U=29.847917mV   
ω=-15.0000°/s    U=44.802251mV   
ω=-20.0000°/s    U=59.728205mV   
ω=-30.0000°/s    U=89.628489mV   
ω=-40.0000°/s    U=119.563457mV   
ω=-60.0000°/s    U=179.263799mV   
ω=-80.0000°/s    U=238.927193mV   
ω=-120.0000°/s    U=357.995350mV   
ω=-150.0000°/s    U=446.954796mV   
ω=-180.0000°/s    U=535.540266mV   
ω=-250.0000°/s    U=740.267490mV   
ω=-300.0000°/s    U=884.526162mV   
ω=-350.0000°/s    U=1026.859920mV   
ω=-300.0000°/s    U=884.545258mV   
ω=-250.0000°/s    U=740.294754mV   
ω=-180.0000°/s    U=535.539418mV   
ω=-150.0000°/s    U=446.958190mV   
ω=-120.0000°/s    U=358.012748mV   
ω=-80.0000°/s    U=238.953607mV   
ω=-60.0000°/s    U=179.272180mV   
ω=-40.0000°/s    U=119.539586mV   
ω=-30.0000°/s    U=89.622794mV   
ω=-20.0000°/s    U=59.720424mV   
ω=-15.0000°/s    U=44.792479mV   
ω=-10.0000°/s    U=29.833942mV   
ω=-8.0000°/s    U=23.862097mV   
ω=-5.0000°/s    U=14.863766mV   
ω=-3.0000°/s    U=8.905939mV   
ω=-2.0000°/s    U=5.905945mV   
ω=-1.0000°/s    U=2.927518mV   
ω=-0.5000°/s    U=1.407851mV   
ω=-0.1000°/s    U=0.249109mV   
ω= 0.0000°/s    U=-0.064853mV   
                       
标度因数        -2.9573mV/(°/s)    
0＜ω≤180°/s线性度            0.1510%   
180°/s＜ω≤350°/s线性度      0.7801%   
          
          
